"id","name","type","plugin","status","created","modified"
"1","コンテンツリンク管理","Admin","BcContentLink","1","2024-08-04 16:36:43","2024-08-04 16:36:43"
"2","コンテンツリンクAPI","Api/Admin","BcContentLink","1","2024-08-04 16:36:43","2024-08-04 16:36:43"
"3","アップロードカテゴリ管理","Admin","BcUploader","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"4","アップローダー設定","Admin","BcUploader","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"5","アップロードファイル管理","Admin","BcUploader","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"6","アップロードカテゴリAPI","Api/Admin","BcUploader","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"7","アップローダー設定API","Api/Admin","BcUploader","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"8","アップロードファイルAPI","Api/Admin","BcUploader","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"9","お気に入りAPI","Api/Admin","BcFavorite","1","2024-08-04 16:38:06","2024-08-04 16:38:06"
"10","エディターテンプレート管理","Admin","BcEditorTemplate","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"11","エディターテンプレートAPI","Api/Admin","BcEditorTemplate","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"12","テーマファイル管理","Admin","BcThemeFile","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"13","テーマファイルAPI","Api/Admin","BcThemeFile","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"14","テーマフォルダAPI","Api/Admin","BcThemeFile","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
